year,month,day,hour,minute,mean_sun_sign_num,mean_sun_deg,mean_sun_arcmin,mean_sun_arcsec,mars_obs_arcmin,mars_obs_arcsec,diff_arcmin,diff_arcsec,diff_sign,mean_sun_lambda_deg,mars_lambda_deg
1580,11,17,9,40,8,6,48,32,46,10,2,22,-,246.808889,66.769444
1582,12,28,12,16,9,16,50,58,46,10,4,48,-,286.849444,106.769444
1585,1,31,19,35,10,21,10,13,10,26,0,13,+,321.170278,141.173889
1587,3,7,17,22,11,25,5,57,10,20,4,23,+,355.099167,175.172222
1589,4,15,13,34,1,3,53,32,58,10,4,38,+,33.892222,213.969444
1591,6,8,16,25,2,26,45,24,32,0,13,24,-,86.756667,266.533333
1593,8,24,2,13,5,12,34,36,43,45,9,9,+,162.576667,342.729167
1595,10,29,21,22,7,17,56,17,56,15,0,2,-,227.938056,47.937500
1597,12,13,13,35,9,2,28,51,28,0,0,51,-,272.480833,92.466667
1600,1,19,9,40,10,8,18,43,18,0,0,43,-,308.311944,128.300000
